case_id,event_index,vertex_index,x_m,y_m
1,12,3,-1430.1886856477179,-758.3621165082463
1,13,0,-973.5277027735892,-1278.9080726453249
1,13,1,-974.0381333362243,-1278.2942376507276
1,13,2,-985.426730217953,-1288.0675196730563
1,13,3,-984.6136459333372,-1289.1182006981953
2,0,0,952.3521032606446,422.1935685509174
2,0,1,952.4474791253621,421.3303554267825
2,0,2,966.8727114551172,427.77854202305207
2,0,3,966.7620965517016,429.2513921841545
2,1,0,1214.4533852918864,930.7429140826757
2,1,1,1215.7123083867102,931.2988216167381
2,1,2,1209.8763210922382,950.1693377608973
2,1,3,1209.264754696469,949.8732339884701
2,2,0,752.051269342458,309.7223008175258
2,2,1,755.0703943683519,283.4884181294335
2,2,2,768.6884331333675,293.3154781481862
2,2,3,764.9156222600591,318.3358603062387
2,3,0,643.1472697858579,265.5509498446969
2,3,1,642.6502441080426,262.0868422360368
2,3,2,658.6963000321991,264.0471011618706
2,3,3,659.0067527963374,266.9259243240771
2,4,0,1201.4137153875156,-439.4301510781332
2,4,1,1200.68812997448,-437.75060799776514
2,4,2,1192.1142701672402,-454.617762890278
2,4,3,1192.5035858845833,-455.5342660587043
2,5,0,1486.47374218196,-477.49890466752953
2,5,1,1487.7781946214707,-477.5721774588663
2,5,2,1490.8757280795453,-467.59341467078656
2,5,3,1489.9407339481966,-467.5737477062938
2,6,0,1462.2776511029206,-556.4413305291957
2,6,1,1469.4731424364454,-546.499322636157
2,6,2,1440.5606973333995,-545.1181449333965
2,6,3,1432.042157665284,-556.0587211530126
2,7,0,700.7693006791899,-955.9675013411393
2,7,1,700.1338047801784,-955.110087104782
2,7,2,697.6918801412905,-961.9319939042402
2,7,3,698.1608962552369,-962.5204675774171
2,8,0,865.5583056047781,-1262.7131491173097
2,8,1,877.4803123526094,-1257.4611302998815
2,8,2,873.0685293482048,-1228.7806695956342
2,8,3,860.0967185278541,-1233.9598343106818
2,9,0,-664.6580425551301,-964.5738667888642
2,9,1,-663.109764453377,-964.6540602489085
2,9,2,-655.7720455471174,-941.9156937376068
2,9,3,-656.4371811692034,-941.8577943412922
2,10,0,-653.3072220787974,-467.40863844551785
2,10,1,-649.5570679453215,-470.4601117408999
2,10,2,-644.2268350842542,-466.59953955845106
2,10,3,-637.7825754560002,-441.7440826655425
2,10,4,-641.6303628105834,-438.38211833082687
2,10,5,-646.6377391094582,-437.3865435135307
2,11,0,-1000.5067830248894,50.21990714003105
2,11,1,-1015.9557862903662,68.45932176117735
2,11,2,-1017.1627726729392,68.54065351817009
2,12,0,-954.4455883066662,531.1402009649329
2,12,1,-954.361733402961,532.1398485579123
2,12,2,-956.4070337640917,533.7513652999502
2,12,3,-963.1372556488154,537.5073656145913
2,13,0,-339.7286314817814,74.24042727038182
2,13,1,-333.9966095865335,74.88590919929197
2,13,2,-323.584219844155,96.73065422155445
2,13,3,-325.55315862893406,99.86637135471496
2,13,4,-352.29249525812423,95.90115783295747
2,14,0,-1439.4414757524246,-167.88003369358333
2,14,1,-1438.14167365334,-167.38459710960458
2,14,2,-1439.7034683315326,-152.48759822485616
2,14,3,-1440.5317060893992,-152.1906383931812
2,15,0,-307.2627716632886,-1411.563145963276
2,15,1,-300.50919350512595,-1409.3642134253935
2,15,2,-299.9699875406329,-1384.3525202549722
2,15,3,-307.593228692387,-1387.1339355050297
3,0,0,381.33405929357883,803.7076279679583
3,0,1,361.0817446051977,809.7701310607117
3,0,2,373.7831394112004,793.3808302604905
3,0,3,394.42943079259726,787.9817051441133
3,1,0,-884.9205965382934,930.1490863520372
3,1,1,-884.1502395368337,929.1835584799638
3,1,2,-875.4680291313874,934.2580490430354
3,1,3,-875.987448349226,934.9580855396697
